Time,Lat,Long,Temp,Prcp,Wvel,Wdir
2020-01-31 03:00:00.0000000,1.79999995,-78.86000061,-1.1550598,0.00041722,9.202061,2.7642963
2020-01-31 06:00:00.0000000,1.79999995,-78.86000061,-0.83799237,0.00077394,10.378407,2.7215307
2020-01-31 09:00:00.0000000,1.79999995,-78.86000061,-0.14147949,0.00097801,10.109565,2.6285326
2020-01-31 12:00:00.0000000,1.79999995,-78.86000061,-0.41618857,0.00061094,11.076584,2.6645563
2020-01-31 15:00:00.0000000,1.79999995,-78.86000061,0.14915974,0.00027047,11.908997,2.8528025
2020-01-31 18:00:00.0000000,1.79999995,-78.86000061,0.6774699,0.00034617,10.847855,2.7901757
2020-01-31 21:00:00.0000000,1.79999995,-78.86000061,0.67386883,0.00061558,11.412178,2.580169
2020-02-01 00:00:00.0000000,1.79999995,-78.86000061,1.0690714,0.00118736,11.503945,2.5754607
2020-02-01 03:00:00.0000000,1.79999995,-78.86000061,0.72075397,0.00191305,12.332442,2.5739577
2020-02-01 06:00:00.0000000,1.79999995,-78.86000061,-0.73961383,0.00257087,8.565738,2.4839408
2020-02-01 09:00:00.0000000,1.79999995,-78.86000061,-0.881602,0.00226408,7.269792,2.62841
2020-02-01 12:00:00.0000000,1.79999995,-78.86000061,-0.40642294,0.00035578,7.437103,2.9548836
2020-02-01 15:00:00.0000000,1.79999995,-78.86000061,-0.01865641,0.00013028,8.237917,-3.0419714
